name;unique;total;ratio
Richard Tweak;299;761;0.392904073587385
Darryl Weathers;299;686;0.4358600583090379
Pocket;296;659;0.44916540212443096
Coach;296;825;0.35878787878787877
Herbert Garrison;293;589;0.49745331069609505
Red;286;645;0.4434108527131783
Ned;286;605;0.4727272727272727
Professor Chaos;284;638;0.445141065830721
Murphy;283;595;0.4756302521008403
Mr. Slave;282;712;0.3960674157303371
Choir Teacher;278;671;0.4143070044709389
Man 3;278;587;0.4735945485519591
Bill;278;517;0.5377176015473888
Ms. Crabtree;275;706;0.3895184135977337
Mechanic;274;591;0.46362098138747887
Chairman;272;588;0.46258503401360546
Mr. Kim;271;611;0.44353518821603927
Captain;270;557;0.48473967684021546
Bush;269;526;0.5114068441064639
Commander;269;591;0.45516074450084604
Manson;269;678;0.3967551622418879
Paris;269;639;0.4209702660406886
Dr. Adams;265;627;0.4226475279106858
Cesar;263;758;0.3469656992084433
A British Person;259;516;0.501937984496124
Record Executive;258;540;0.4777777777777778
Det. Harris;258;552;0.4673913043478261
Mr. Adler;257;653;0.39356814701378257
Maury;257;597;0.4304857621440536
Officer;257;509;0.5049115913555993
Woman 1;253;420;0.6023809523809524
Lead Biker;249;506;0.49209486166007904
Father Maxi;249;479;0.5198329853862212
Mimsy;249;675;0.3688888888888889
Jonathan;249;556;0.447841726618705
Grandpa;247;517;0.47775628626692457
Dr. Biber;247;509;0.48526522593320237
Officer 2;246;440;0.5590909090909091
Frank;244;520;0.46923076923076923
Miss Stevens;243;528;0.4602272727272727
Dawson;243;500;0.486
Mr. Hat;242;507;0.47731755424063116
Loogie;242;487;0.49691991786447637
Alien;241;543;0.4438305709023941
Oprah;241;532;0.45300751879699247
Toolshed;240;456;0.5263157894736842
Phil;239;549;0.4353369763205829
John Edward;238;637;0.37362637362637363
Mr. Weatherhead;238;511;0.4657534246575342
Mr. Adams;238;658;0.3617021276595745
Travis;237;598;0.3963210702341137
Dougie;237;535;0.44299065420560746
Operator;236;486;0.48559670781893005
Mitch Conner;235;514;0.4571984435797665
Attorney;234;470;0.4978723404255319
Captain Hindsight;234;581;0.4027538726333907
Dad;233;480;0.48541666666666666
Smith;231;536;0.43097014925373134
Aslan;230;525;0.4380952380952381
Reporter 2;230;336;0.6845238095238095
The Mayor;229;411;0.5571776155717761
Kids;228;474;0.4810126582278481
Mr. Kincade;228;520;0.43846153846153846
Mike;228;407;0.5601965601965602
GRRM;227;461;0.4924078091106291
Mr. Dawkins;227;462;0.49134199134199136
Mr. Gueermo;226;647;0.34930448222565685
Detective;226;421;0.5368171021377672
Ms. Ellen;226;492;0.45934959349593496
Mickey;225;526;0.42775665399239543
Mackey;225;560;0.4017857142857143
DJ;225;532;0.42293233082706766
Billy;224;499;0.44889779559118237
MC;223;474;0.4704641350210971
Squirt leader;223;564;0.3953900709219858
BSM-471;222;487;0.45585215605749485
Barbra Streisand;221;487;0.4537987679671458
Jeff;219;457;0.47921225382932164
Michelle;218;420;0.5190476190476191
Mitchell;218;435;0.5011494252873563
Steve Jobs;217;480;0.45208333333333334
Lawyer;216;438;0.4931506849315068
Kevin;215;352;0.6107954545454546
Miles;214;487;0.4394250513347023
Tuong;212;521;0.4069097888675624
Ms. Havisham;211;459;0.4596949891067538
Leonard Maltin;210;392;0.5357142857142857
Jakov;209;392;0.5331632653061225
Funnybot;209;421;0.49643705463182897
Petey;208;534;0.3895131086142322
Dr. Mephesto;207;457;0.45295404814004375
Father;207;346;0.5982658959537572
Priest;207;352;0.5880681818181818
Pi Pi;206;554;0.37184115523465705
Ugly Bob;206;437;0.47139588100686497
Leader;206;376;0.5478723404255319
Mr. Wyland;206;488;0.42213114754098363
Research Leader;205;417;0.49160671462829736
Mr. Nelson;205;446;0.45964125560538116
Lamont;204;398;0.5125628140703518
Morpheus;204;448;0.45535714285714285
Kelly;204;426;0.4788732394366197
Runs with Premise;204;429;0.4755244755244755
Fanciful Mayor;203;446;0.4551569506726457
Aide 2;203;339;0.5988200589970502
Elder Garth;203;426;0.4765258215962441
Man 4;202;322;0.6273291925465838
Grampa;202;458;0.4410480349344978
Sister Anne;201;498;0.4036144578313253
Hansen;200;458;0.4366812227074236
Voice;199;326;0.6104294478527608
Tammy;199;385;0.5168831168831168
Lamond;198;418;0.47368421052631576
Aide;198;354;0.559322033898305
Nurse Gollum;198;411;0.48175182481751827
Corey;198;361;0.5484764542936288
Boy 1;198;361;0.5484764542936288
God;198;375;0.528
Jennifer Lopez;198;391;0.5063938618925832
Teacher;197;413;0.47699757869249393
Martha;196;405;0.4839506172839506
Therapist;196;334;0.5868263473053892
Roger;196;388;0.5051546391752577
Pioneer Paul;196;387;0.5064599483204134
Connelly;195;387;0.5038759689922481
Aide 1;195;326;0.598159509202454
Mr. Cotswolds;194;432;0.44907407407407407
Assistant;193;332;0.5813253012048193
Teabag;192;364;0.5274725274725275
Governor;192;400;0.48
Ron;192;293;0.6552901023890785
Rebecca;191;338;0.5650887573964497
Garrison;191;377;0.506631299734748
Pat;191;398;0.4798994974874372
Steven Spielberg;191;342;0.5584795321637427
Romper Stomper;190;460;0.41304347826086957
Guard;190;365;0.5205479452054794
Commentator;190;315;0.6031746031746031
Researcher;189;314;0.6019108280254777
FOX President;189;404;0.46782178217821785
Nurse;189;337;0.5608308605341247
THC President;189;422;0.44786729857819907
Anchor Tom;188;271;0.6937269372693727
Morgan Freeman;188;352;0.5340909090909091
Leslie;187;345;0.5420289855072464
Mr. Evans;187;372;0.5026881720430108
Miss Stevenson;187;412;0.4538834951456311
Frog King;186;367;0.5068119891008175
Glen Dumont;186;430;0.4325581395348837
Teresa;186;468;0.3974358974358974
Nelson;186;360;0.5166666666666667
Reeve;186;374;0.49732620320855614
P.F. Pityef;185;393;0.4707379134860051
Greenfield;185;324;0.5709876543209876
Nerd #1;185;315;0.5873015873015873
Chief elder;185;374;0.4946524064171123
Boy;185;376;0.4920212765957447
Pearl;184;348;0.5287356321839081
Broloff;182;344;0.5290697674418605
Terry;182;341;0.533724340175953
NAMBLA Leader;181;359;0.5041782729805014
Human Kite;181;326;0.5552147239263804
Dr. Hallis;180;334;0.5389221556886228
Mercedes;180;308;0.5844155844155844
David;180;323;0.5572755417956656
Elton;177;297;0.5959595959595959
Vampir;176;342;0.5146198830409356
Rancher;176;418;0.42105263157894735
Postum;176;305;0.5770491803278689
Butler;175;344;0.5087209302325582
Cashier;174;300;0.58
Jack;173;303;0.570957095709571
Rancher Bob;173;292;0.5924657534246576
Record Producer;173;341;0.5073313782991202
Gates;172;314;0.5477707006369427
Aussie;172;354;0.4858757062146893
Jim Rome;172;336;0.5119047619047619
Speaker;172;293;0.5870307167235495
McCain;171;277;0.6173285198555957
Phil Collins;171;363;0.47107438016528924
Frans;170;333;0.5105105105105106
Mr. Meryl;170;383;0.44386422976501305
Future Stan;170;326;0.5214723926380368
Shake Weight;170;477;0.35639412997903563
Woman 2;169;294;0.5748299319727891
Chief;169;308;0.5487012987012987
Girl;167;376;0.4441489361702128
Expert 9;167;313;0.5335463258785943
Tong Leader;167;311;0.5369774919614148
James Cameron;166;322;0.515527950310559
Time Child;166;420;0.3952380952380952
Mrs. Tweak;166;292;0.5684931506849316
Tad;166;340;0.48823529411764705
Blaine;166;311;0.5337620578778135
Clinic Doctor;166;270;0.6148148148148148
Water Tester;165;299;0.5518394648829431
Barker;164;264;0.6212121212121212
Sphinx;164;292;0.5616438356164384
Blonde;164;306;0.5359477124183006
Bob;164;272;0.6029411764705882
Shvek;163;312;0.5224358974358975
Balding Man;163;303;0.5379537953795379
Pharmacist;162;306;0.5294117647058824
Evil Cartman;162;297;0.5454545454545454
Dan Snyder;162;337;0.4807121661721068
Robert;162;301;0.5382059800664452
Keenan;161;288;0.5590277777777778
Boys;161;327;0.4923547400611621
Bishop;160;330;0.48484848484848486
Miss Information;160;291;0.5498281786941581
Grammy;159;323;0.49226006191950467
Dr. Roberts;159;255;0.6235294117647059
Homeless Advisor;158;274;0.5766423357664233
Mrs. Garthunk;158;267;0.5917602996254682
Security Guard;158;280;0.5642857142857143
Nichole;157;324;0.4845679012345679
Netzel;157;294;0.5340136054421769
Mel;157;337;0.4658753709198813
Bradley;157;271;0.5793357933579336
Betsy;157;364;0.43131868131868134
Worker 1;155;221;0.7013574660633484
Truck Driver;155;263;0.5893536121673004
Mosquito;155;249;0.6224899598393574
Pilot;155;254;0.610236220472441
Tony Hayward;155;362;0.4281767955801105
Sally;154;241;0.6390041493775933
Stella;154;377;0.40848806366047746
Guard 2;154;233;0.6609442060085837
Ranger McFriendly;154;289;0.532871972318339
Poe;154;283;0.5441696113074205
Dr. Phillips;154;274;0.5620437956204379
Rabbi 1;153;240;0.6375
President Hirohito;153;246;0.6219512195121951
Lisa;152;302;0.5033112582781457
Robert Pooner;151;241;0.6265560165975104
Mr. Foley;151;263;0.5741444866920152
El Presidente;151;240;0.6291666666666667
Blanket;151;288;0.5243055555555556
Emperor Akihito;150;274;0.5474452554744526
Billy Mays;150;301;0.4983388704318937
Damien;150;283;0.5300353356890459
Cochran;150;353;0.42492917847025496
Harry;149;281;0.5302491103202847
Abraham Lincoln;149;278;0.5359712230215827
Board Rep;149;288;0.5173611111111112
Brunet;149;263;0.5665399239543726
Lead Scientist;148;273;0.5421245421245421
ATF lead;148;253;0.5849802371541502
Bridon;148;313;0.4728434504792332
Thumper;148;274;0.5401459854014599
Bono;148;294;0.5034013605442177
Timmy;148;578;0.2560553633217993
Estella;148;319;0.46394984326018807
Kyle Schwartz;147;253;0.5810276679841897
Scott Tenorman;147;275;0.5345454545454545
Worker;147;229;0.6419213973799127
Howard;147;290;0.506896551724138
Newscaster;147;244;0.6024590163934426
M.C.;147;226;0.6504424778761062
Hollis;146;248;0.5887096774193549
Border Officer 2;146;259;0.5637065637065637
Coach Connors;146;261;0.5593869731800766
Official;145;233;0.6223175965665236
Older man;145;316;0.4588607594936709
Old Cap;144;279;0.5161290322580645
Mr. Billings;144;254;0.5669291338582677
Janitor;144;285;0.5052631578947369
Casey;143;240;0.5958333333333333
Trent;143;264;0.5416666666666666
Scientist;143;251;0.5697211155378487
Jason;143;287;0.49825783972125437
Canadians;143;297;0.48148148148148145
Mr. Thompson;142;257;0.5525291828793775
Mr. Donaldson;142;255;0.5568627450980392
Mr. Garrison Sr.;141;282;0.5
Prince;141;242;0.5826446280991735
Gary Sr.;141;243;0.5802469135802469
President Obama;141;226;0.6238938053097345
Tom Vilsack;140;254;0.5511811023622047
Bob Saget;140;223;0.6278026905829597
All;139;233;0.5965665236051502
Agent 2;139;210;0.6619047619047619
Geraldo;139;215;0.6465116279069767
Larry King;139;244;0.569672131147541
New Cartman;138;230;0.6
Allyson;138;252;0.5476190476190477
Pamphleteer;138;269;0.5130111524163569
UAA Leader;138;228;0.6052631578947368
Frederick;137;224;0.6116071428571429
Lexus;137;286;0.479020979020979
Matt;137;225;0.6088888888888889
Harris;136;225;0.6044444444444445
Network President;136;235;0.5787234042553191
Doctor Pal;136;232;0.5862068965517241
Mr. Grazier;136;250;0.544
Mom;136;247;0.5506072874493927
Worker 2;135;195;0.6923076923076923
Dr. Lott;135;304;0.4440789473684211
Nelly;135;250;0.54
Blavius;135;256;0.52734375
The Ghost of Human Kindness;135;222;0.6081081081081081
John Garner;134;245;0.5469387755102041
Boy 2;134;203;0.6600985221674877
Moses;134;202;0.6633663366336634
Bus Driver;134;241;0.5560165975103735
Will Smith;134;233;0.575107296137339
Crowd;134;338;0.39644970414201186
HBC President;134;284;0.47183098591549294
Pinkerton;133;238;0.5588235294117647
Blond;133;212;0.6273584905660378
Ganz;133;232;0.5732758620689655
Aaron Brown;133;226;0.588495575221239
Nerd #2;133;211;0.6303317535545023
Flight Attendant;133;238;0.5588235294117647
Man 5;133;220;0.6045454545454545
Ryan;133;216;0.6157407407407407
Catatafish;133;252;0.5277777777777778
Lady Member;133;217;0.6129032258064516
Agent 1;132;204;0.6470588235294118
Dan;132;226;0.584070796460177
Ben;131;249;0.5261044176706827
Jonas Brothers;131;278;0.4712230215827338
Partner;131;219;0.5981735159817352
Soldier;130;229;0.5676855895196506
Sixth Grader 1;130;229;0.5676855895196506
Lola;130;195;0.6666666666666666
DOI 1;130;230;0.5652173913043478
Judge Julie;130;261;0.49808429118773945
Jambu;130;249;0.5220883534136547
Waitress;129;228;0.5657894736842105
Teller;129;267;0.48314606741573035
Katherine;129;223;0.57847533632287
Charlie Rose;129;211;0.6113744075829384
Joozian 1;128;233;0.5493562231759657
Harrison Moore;128;234;0.5470085470085471
Mr. Takiyama;128;219;0.5844748858447488
Reporter 3;128;192;0.6666666666666666
Mitch;127;182;0.6978021978021978
Prof. Thomas;127;242;0.5247933884297521
Palin;127;188;0.675531914893617
PewDiePie;126;251;0.50199203187251
Joseph Smith;126;179;0.7039106145251397
News 4 Reporter;126;188;0.6702127659574468
ESPN Host;126;195;0.6461538461538462
Bucky Bailey;126;230;0.5478260869565217
Reporter 1;126;188;0.6702127659574468
Veteran Guard;125;213;0.5868544600938967
Chief David;125;201;0.6218905472636815
Roy;125;219;0.5707762557077626
BB Founder;124;211;0.5876777251184834
Martha Stewart;124;194;0.6391752577319587
Italian Cardinal;124;239;0.5188284518828452
Elder;123;204;0.6029411764705882
Man 7;123;178;0.6910112359550562
Karen;122;204;0.5980392156862745
Ballmer;122;182;0.6703296703296703
Guide;122;179;0.6815642458100558
Charlie;122;173;0.7052023121387283
McDonald's Exec;122;193;0.6321243523316062
Expert 4;122;179;0.6815642458100558
Geoff Hamill;121;231;0.5238095238095238
The Boys;121;292;0.4143835616438356
Jenny;121;206;0.587378640776699
Snetzl;120;174;0.6896551724137931
Bundy;120;215;0.5581395348837209
Man with Terrible Skin Condition;120;219;0.547945205479452
Passenger;120;200;0.6
Choir;120;267;0.449438202247191
The Colonel;119;182;0.6538461538461539
Tough Guy 1;119;235;0.5063829787234042
Member 1;119;196;0.6071428571428571
Warden;118;160;0.7375
Det. Yates;117;202;0.5792079207920792
Voice-over;117;180;0.65
Mama;117;209;0.5598086124401914
Thom;117;181;0.6464088397790055
Researcher 1;117;192;0.609375
Kurt Loder;116;177;0.655367231638418
Man with Foot on Head;116;173;0.6705202312138728
Officer 3;116;177;0.655367231638418
Chief Justice;115;165;0.696969696969697
Akmarh;115;183;0.6284153005464481
Smalls;115;219;0.5251141552511416
Instructor;115;193;0.5958549222797928
Cable Guy;115;256;0.44921875
Kevin Harris;115;173;0.6647398843930635
Heidi;115;200;0.575
Ted Koppel;114;167;0.6826347305389222
Gardener;114;215;0.5302325581395348
Elderly Woman;114;183;0.6229508196721312
Coordinator;114;173;0.6589595375722543
FBI Agent;114;198;0.5757575757575758
Ticket Salesman;113;182;0.6208791208791209
Red Goth;113;172;0.6569767441860465
Tiger;112;169;0.6627218934911243
The Doctor;112;197;0.5685279187817259
KKK Leader;112;194;0.5773195876288659
Mr. Testaburger;111;169;0.6568047337278107
SNN Anchor;111;183;0.6065573770491803
Kyle 1;111;180;0.6166666666666667
President Wulff;111;168;0.6607142857142857
CNN Anchor;111;160;0.69375
Stewart;111;162;0.6851851851851852
Chinese Commentator;110;157;0.7006369426751592
Camp Warden;110;190;0.5789473684210527
Dr. Oz;110;188;0.5851063829787234
McGee-zax;110;185;0.5945945945945946
Creamy Goodness;110;159;0.6918238993710691
Mr. Ose;110;186;0.5913978494623656
Girl in Pink;110;167;0.6586826347305389
Miner 1;110;162;0.6790123456790124
Alien Man;109;188;0.5797872340425532
Robert Redford;109;186;0.5860215053763441
Disfigured Country Singer;109;169;0.6449704142011834
Polly Prissypants;109;213;0.5117370892018779
Sergeant;109;171;0.6374269005847953
Cornwallis;108;218;0.4954128440366973
Cody;108;174;0.6206896551724138
Townsfolk;108;293;0.36860068259385664
Janet Reno;108;180;0.6
Brunette;108;166;0.6506024096385542
Mime;108;171;0.631578947368421
Alec Baldwin;108;187;0.5775401069518716
Cpt. Taylor;108;170;0.6352941176470588
A voice;108;178;0.6067415730337079
ALF Leader;108;169;0.6390532544378699
SWAT Officer 2;107;165;0.6484848484848484
Veronica;107;191;0.5602094240837696
Elder 1;107;143;0.7482517482517482
Man 6;107;159;0.6729559748427673
SNN Reporter;107;168;0.6369047619047619
Barkeep;106;196;0.5408163265306123
Singer (background singers);106;282;0.375886524822695
Mickey Mouse;106;180;0.5888888888888889
Tall Goth;106;151;0.7019867549668874
The New Lyrics;106;180;0.5888888888888889
Security Agent;106;170;0.6235294117647059
Michael Deets;105;198;0.5303030303030303
Class;105;175;0.6
Laura;104;150;0.6933333333333334
Secretary;104;178;0.5842696629213483
Squirrely;104;194;0.5360824742268041
Elise;104;158;0.6582278481012658
Director 2;104;164;0.6341463414634146
Guard 1;104;150;0.6933333333333334
Filmore;104;162;0.6419753086419753
Buff Crip;104;135;0.7703703703703704
Fire Captain;103;147;0.7006802721088435
UPS Man;103;152;0.6776315789473685
Fire Marshal;103;165;0.6242424242424243
Sandy Cervix;103;144;0.7152777777777778
Hamlet;103;146;0.7054794520547946
Mailman;102;169;0.6035502958579881
Harvey Brown;102;168;0.6071428571428571
Blond Man;102;135;0.7555555555555555
Celine Dion;102;161;0.6335403726708074
Kip;102;174;0.5862068965517241
Brandon Carlile;101;173;0.5838150289017341
Plex;101;215;0.4697674418604651
Grandma;101;163;0.6196319018404908
Specialist;100;155;0.6451612903225806
Dr. Carroll;100;134;0.746268656716418
Howard Stern;100;128;0.78125
President Bush;100;163;0.6134969325153374
Reporter Chris;100;147;0.6802721088435374
Fat Abbot;99;161;0.6149068322981367
Mr. Feegan;99;139;0.7122302158273381
Firkle;98;149;0.6577181208053692
Porsche;98;165;0.593939393939394
Osama bin Laden;98;126;0.7777777777777778
Vice President;98;149;0.6577181208053692
Anchorman Tom;98;156;0.6282051282051282
Older Man;97;145;0.6689655172413793
George Lucas;97;163;0.5950920245398773
Announcer 1;97;192;0.5052083333333334
Referee;97;135;0.7185185185185186
Player;97;125;0.776
Director 3;97;136;0.7132352941176471
Kanye (backup singers);97;191;0.5078534031413613
A Boy;96;147;0.6530612244897959
Jeffrey;96;154;0.6233766233766234
Sarah;96;134;0.7164179104477612
Luke Skywalker;96;122;0.7868852459016393
Mr. Hardly;96;152;0.631578947368421
Student;96;124;0.7741935483870968
Nut Gobbler;96;186;0.5161290322580645
DiCaprio;96;147;0.6530612244897959
Magic;96;162;0.5925925925925926
Wife;96;165;0.5818181818181818
Photographer;96;210;0.45714285714285713
Stagehand;96;143;0.6713286713286714
Brett;96;159;0.6037735849056604
Snoop Dogg;95;121;0.7851239669421488
Fieldy;95;144;0.6597222222222222
Richards;95;132;0.7196969696969697
Grandmama;95;146;0.6506849315068494
Chief Aide;95;140;0.6785714285714286
Mrs. Miller;94;143;0.6573426573426573
Quincy;94;138;0.6811594202898551
Sally Struthers;94;136;0.6911764705882353
Farmer 1;94;173;0.5433526011560693
DA;94;148;0.6351351351351351
Jeff VanVonderen;94;167;0.562874251497006
Puff Daddy;94;160;0.5875
Black Vamp;94;148;0.6351351351351351
Mr. Garrett;94;145;0.6482758620689655
Hillary;93;157;0.5923566878980892
Bill Cosby;93;143;0.6503496503496503
Comedian;93;152;0.6118421052631579
Townsman;93;133;0.6992481203007519
Rebecca Turnod;93;125;0.744
Goodell;93;140;0.6642857142857143
Chief Running Water;92;133;0.6917293233082706
Dan Akawa;91;143;0.6363636363636364
Girl 1;91;113;0.8053097345132744
Kurt Russell;91;166;0.5481927710843374
Vladimir;91;143;0.6363636363636364
Clinton;91;134;0.6791044776119403
Promoter;91;131;0.6946564885496184
Hispanic Reporter;91;119;0.7647058823529411
Mr. Stevenson;91;130;0.7
Joozian 2;90;135;0.6666666666666666
Breeder;90;125;0.72
Blonde Girl;90;135;0.6666666666666666
Mrs. Testaburger;90;144;0.625
Trainer;90;137;0.656934306569343
Bob Thomas;90;110;0.8181818181818182
Mrs. Stevens;90;120;0.75
Homeowner;90;180;0.5
Cruise;90;186;0.4838709677419355
Dr. Phil;90;140;0.6428571428571429
DOI 2;90;127;0.7086614173228346
Man 10;89;112;0.7946428571428571
Dr. Neeland;89;125;0.712
Fosse;89;141;0.6312056737588653
Beavery;89;132;0.6742424242424242
Man 8;89;119;0.7478991596638656
Ms. Garrison;89;127;0.7007874015748031
Autumn;89;156;0.5705128205128205
Elderly Man;89;129;0.689922480620155
Chief Running Pinto;89;141;0.6312056737588653
Canadian PM;88;155;0.567741935483871
Mrs. Biggle;88;133;0.6616541353383458
Sorcerer;88;131;0.6717557251908397
Rosie O'Donnell;88;130;0.676923076923077
Spokesman;87;125;0.696
Katie;87;128;0.6796875
Head Scoutmaster;87;136;0.6397058823529411
General Tso;87;135;0.6444444444444445
Tucker;87;137;0.635036496350365
Mr. Sanders;87;127;0.6850393700787402
Mr. Peters;87;132;0.6590909090909091
A Voice;86;121;0.7107438016528925
Junichi;86;163;0.5276073619631901
Scientist 1;86;140;0.6142857142857143
Scientist 2;86;121;0.7107438016528925
Emir;86;125;0.688
Aunt Flo;86;129;0.6666666666666666
Intruder;86;126;0.6825396825396826
Mr. Fun;85;137;0.6204379562043796
Medic;85;121;0.7024793388429752
Hotline Voice;85;144;0.5902777777777778
Chief of Security;85;128;0.6640625
Older Boy;85;111;0.7657657657657657
Mother;85;116;0.7327586206896551
Laborer 1;85;128;0.6640625
Gnome 2;85;129;0.6589147286821705
Anthropologist;84;104;0.8076923076923077
Counselor;84;136;0.6176470588235294
Demon 1;84;126;0.6666666666666666
Marty;84;116;0.7241379310344828
Mrs. Joe;84;117;0.717948717948718
Boy in Blue Vest;84;134;0.6268656716417911
Expert 1;84;130;0.6461538461538462
Head of Programming;83;135;0.6148148148148148
Husband;83;109;0.7614678899082569
Wall-Mart;83;151;0.5496688741721855
Jonesy;83;123;0.6747967479674797
Xerxes;83;134;0.6194029850746269
Ohrlich;83;106;0.7830188679245284
Aide 3;83;150;0.5533333333333333
Greg Nimins;83;131;0.6335877862595419
Mr. Donovan;83;117;0.7094017094017094
Saddam Hussein;83;115;0.7217391304347827
Fiancée;82;231;0.354978354978355
John Ramsey;82;119;0.6890756302521008
Chet;82;121;0.6776859504132231
Chris Swollenballs;82;122;0.6721311475409836
Lead tech;82;124;0.6612903225806451
Chubby Official;82;125;0.656
Bebe's Mom;82;118;0.6949152542372882
Executive 1;82;128;0.640625
Mr. Biggle;82;129;0.6356589147286822
Shawna;82;126;0.6507936507936508
Brad Morgan;82;139;0.5899280575539568
Cardinal Mahoney;82;122;0.6721311475409836
Person;81;118;0.6864406779661016
Jim Brown-ish;81;120;0.675
Dentist;81;118;0.6864406779661016
Pharaoh;81;116;0.6982758620689655
Michelle Obama;81;125;0.648
Transient Man 5;81;113;0.7168141592920354
Apple Man 1;81;133;0.6090225563909775
Seaman;81;106;0.7641509433962265
Gerry;81;113;0.7168141592920354
BHI President;80;122;0.6557377049180327
Field Reporter 1;80;121;0.6611570247933884
Laertes;80;121;0.6611570247933884
Man 11;79;100;0.79
Tony;79;127;0.6220472440944882
Bill O'Reilly;79;128;0.6171875
Sparrow Prince;79;102;0.7745098039215687
Chris Martin;79;126;0.626984126984127
Freddy Krueger;79;107;0.7383177570093458
An old farmer;79;155;0.5096774193548387
